Indexes,URL,Status,Category,Note
Nifty Auto,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-auto,Working,Sectoral Indices,
Nifty Bank,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-bank,Working,Sectoral Indices,
Nifty Financial Services,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-financial-services,Working,Sectoral Indices,
Nifty FMCG,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-fmcg,Working,Sectoral Indices,
Nifty IT,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-it,Working,Sectoral Indices,
Nifty Media,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-media,Working,Sectoral Indices,
Nifty Metal,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-metal,Working,Sectoral Indices,
Nifty Pharma,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-pharma,Working,Sectoral Indices,
Nifty PSU Bank,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-psu-bank,Working,Sectoral Indices,
Nifty Realty,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-realty,Working,Sectoral Indices,
Nifty Private Bank,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-private-bank,Working,Sectoral Indices,
Nifty Financial Services 25/50,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-financial-services-25-50-index,Working,Sectoral Indices,
